quality,chroma_subsampling,decoder,images,bits_per_pixel,ssimulacra2_mean,ssimulacra2_median,ssimulacra2_worst,butteraugli_mean,butteraugli_median,butteraugli_worst,cvvdp_jod_mean,cvvdp_jod_median,cvvdp_jod_worst,dists_mean,dists_median,dists_worst
30,422,apple_imageio,30,0.575912707,53.881987369,53.591821377,43.055464288,5.462608210,5.164411545,9.273646355,9.658073203,9.664745808,9.342717171,0.112904565,0.103841514,0.221488357
35,422,jpegli,30,0.604354348,55.141121224,54.844019405,43.655260340,5.321993041,5.012741566,9.023056984,9.660926723,9.670207023,9.358379364,0.113884856,0.106777072,0.222380400
35,422,turbojpeg,30,0.604354348,55.765279418,55.413777920,45.101204158,5.321408987,4.983448506,8.740864754,9.680926291,9.682256222,9.363157272,0.108288449,0.098929435,0.218145549
35,422,apple_imageio,30,0.604354348,55.750601388,55.361708569,45.143718987,5.315729324,4.968307019,8.709187508,9.681518777,9.682456970,9.363351822,0.108278215,0.098889649,0.217772484
40,422,jpegli,30,0.632044923,56.857998109,56.504301659,45.489620437,5.058920495,4.776047945,8.152685165,9.685201518,9.688891411,9.378861427,0.109142919,0.101894617,0.217554569
40,422,turbojpeg,30,0.632044923,57.397926997,56.943340570,47.039500875,5.061014700,4.665697813,8.182145119,9.701582654,9.701334953,9.382645607,0.104265928,0.093336940,0.213026643
40,422,apple_imageio,30,0.632044923,57.422418670,56.941783720,47.078898174,5.061602155,4.663112640,8.093271255,9.701726596,9.701310635,9.382555008,0.104252197,0.093316615,0.212334216
45,422,jpegli,30,0.672269966,58.984857715,58.573882318,47.870192684,4.895557777,4.759912491,8.819611549,9.712087409,9.713781834,9.402489662,0.103867253,0.096120090,0.213379741
45,422,turbojpeg,30,0.672269966,59.658349748,59.378286407,49.413482381,4.845913132,4.425637245,8.792028427,9.728732045,9.726135731,9.405377388,0.099137469,0.088870138,0.208665431
45,422,apple_imageio,30,0.672269966,59.659956891,59.390821093,49.426104380,4.841251278,4.426474094,8.736858368,9.728878880,9.725906849,9.405338287,0.099092519,0.088869602,0.208558917
50,422,jpegli,30,0.707411096,60.809258616,60.442620200,49.881892708,4.697849075,4.507415294,8.008107185,9.735840321,9.734340191,9.424786568,0.098938328,0.090641528,0.208645761
50,422,turbojpeg,30,0.707411096,61.424393860,60.877333545,51.350320481,4.668308624,4.359961987,7.908596992,9.751523177,9.749824524,9.427299500,0.094067256,0.085941732,0.201779008
50,422,apple_imageio,30,0.707411096,61.442992194,60.890270628,51.375564325,4.678411810,4.377288580,7.968454361,9.751588249,9.750224113,9.427386284,0.094061583,0.085867852,0.201427758
55,422,jpegli,30,0.749602251,62.850718701,62.600905930,52.241924201,4.483249116,4.177699328,7.556266308,9.761078517,9.765347004,9.450528145,0.093700709,0.086867243,0.203285992
